#Software: Microsoft Internet Information Services 5.0
#Version: 1.0
#Date: 2003-09-30 18:49:20
#Fields: date time c-ip cs-method cs-uri-stem sc-status sc-bytes cs-bytes time-taken cs-version cs(User-Agent) 
2003-09-30 23:50:12 63.195.88.133 GET /turkey/thumbnails/31_rock+church+entry.jpg 200 2694 672 328 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:50:12 63.195.88.133 GET /turkey/thumbnails/32_Yilanli+church+fresco+with+Jesus+and+angles.jpg 200 4063 706 454 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:50:12 63.195.88.133 GET /turkey/thumbnails/33_Selime+cone+houses.jpg 200 2047 673 312 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:50:12 63.195.88.133 GET /turkey/thumbnails/34_loading+potatoes+1.jpg 200 2813 673 453 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:50:12 63.195.88.133 GET /turkey/thumbnails/35_loading+potatoes+2.jpg 200 3306 673 453 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:50:13 63.195.88.133 GET /turkey/thumbnails/38_Hagia+Sophia.jpg 200 3416 665 266 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:50:13 63.195.88.133 GET /turkey/thumbnails/37_Fatih's+summerhouse.jpg 200 3466 674 454 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:50:13 63.195.88.133 GET /turkey/thumbnails/36_bride.jpg 200 3039 656 515 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:50:13 63.195.88.133 GET /turkey/thumbnails/39_boat+driver.jpg 200 2806 664 422 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:50:16 63.195.88.133 GET /turkey/pages/05_streetscape+with+fish+guys.htm 200 1700 678 187 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
