#Software: Microsoft Internet Information Services 5.0
#Version: 1.0
#Date: 2003-06-10 06:21:26
#Fields: date time c-ip cs-method cs-uri-stem sc-status sc-bytes cs-bytes time-taken cs-version cs(User-Agent) 
2003-06-10 11:30:55 80.11.67.75 GET /laos/images/08_Hmong+family+on+bus+back.jpg 200 56656 364 4078 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:30:58 80.11.67.75 GET /laos/pages/09_Lao+new+year+-+getting+splashed.htm 200 2025 476 438 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:31:03 80.11.67.75 GET /laos/images/09_Lao+new+year+-+getting+splashed.jpg 200 52944 382 3969 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:31:10 80.11.67.75 GET /laos/pages/10_Luang+Prabang+night+market.htm 304 141 564 16 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:31:10 80.11.67.75 GET /laos/images/10_Luang+Prabang+night+market.jpg 304 141 452 15 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:31:20 80.11.67.75 GET /laos/pages/11_Haw+Pha+Bang+Wat+-+Luang+Prabang.htm 200 1767 479 516 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:31:25 80.11.67.75 GET /laos/images/11_Haw+Pha+Bang+Wat+-+Luang+Prabang.jpg 200 69734 388 5047 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:31:31 80.11.67.75 GET /laos/pages/12_Nam+Ou+River+in+the+mist.htm 200 1817 481 422 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:31:33 80.11.67.75 GET /laos/images/12_Nam+Ou+River+in+the+mist.jpg 200 21639 368 1625 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:31:44 80.11.67.75 GET /laos/pages/13_Ban+Soupjem+main+street.htm 200 1720 466 422 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:31:48 80.11.67.75 GET /laos/images/13_Ban+Soupjem+main+street.jpg 200 47592 358 3438 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:32:01 80.11.67.75 GET /laos/pages/14_burning+fields+-+looking+across+river.htm 200 1850 479 469 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
